chl601_dipole.dat,"[0.015447537187025474, 0.04733574722204928, 0.06659637123011047, 0.07921233363994735, 0.08746964525964769, 0.09262445140821784, 0.09548603864017187, 0.09662221528684098, 0.0964516873954126, 0.09529272174208689, 0.09339183693912104, 0.09094219623583363, 0.08809616675365291, 0.08497431394690894, 0.08167207806865746, 0.07826486459996922, 0.07481200359593776, 0.0713598751367095, 0.0679444035761191, 0.06459306404930705, 0.061326506008428594, 0.058159872316316565, 0.055103874026607005, 0.052165667686493854, 0.04934957214722541, 0.04665765440606869, 0.044090208248383646, 0.04164614495258145, 0.03932331174982152, 0.037118750872522546, 0.035028909720782285, 0.03304981080510372, 0.031177188598105404, 0.02940659917869069, 0.027733507526210545, 0.026153356477538307, 0.02466162066332712, 0.023253848164261407, 0.021925692152232376, 0.02067293438748249]"
chl601_Qx_dipole.dat,"[0.17949885093824733, 0.16830558858471728, 0.15531277791153802, 0.14213714435184285, 0.12934357333540009, 0.11718821078848754, 0.10579109219241628, 0.09520057772769214, 0.08542378760944225, 0.07644315903179996, 0.06822629788633766, 0.06073218516102668, 0.053915225411405386, 0.04772793651804187, 0.04212274531479043, 0.037053176410988695, 0.032474620706366496, 0.02834480923335906, 0.024624079356122687, 0.0212754948539993, 0.018264864011413837, 0.015560687645242492, 0.01313406029022058, 0.010958541445378216, 0.00901000915248567, 0.007266504756176768, 0.005708075157096784, 0.004316616982681179, 0.003075725698456797, 0.0019705516443165915, 0.000987664214969477, 0.00011492484440421994, -0.0006586309499112762, -0.0013429024945545503, -0.0019468240901855537, -0.0024784567084951852, -0.0029450717052108646, -0.0033532270470267825, -0.003708836572787523, -0.00401723281286461]"
chl608_dipole.dat,"[-0.18077774159240623, -0.16805657870504528, -0.15599887131394535, -0.14499446319538856, -0.1349973339647854, -0.12590599672844538, -0.11761888658513855, -0.11004508341840444, -0.10310549736936997, -0.09673177751840967, -0.09086479788462555, -0.085453225263701, -0.08045228880438074, -0.07582275664991718, -0.07153009343499243, -0.06754376733370528, -0.06383667828567079, -0.06038468381317117, -0.05716620347292727, -0.05416188690477466, -0.0513543335884113, -0.048727854895000235, -0.0462682709505312, -0.04396273633041231, -0.041799589776983316, -0.03976822404997478, -0.03785897274315213, -0.036063011473279616, -0.0343722713041219, -0.03277936263432653, -0.03127750807340567, -0.029860483069752777, -0.028522563250290546, -0.027258477591941447, -0.026063366677619815, -0.02493274539933845, -0.02386246956260281, -0.022848705922937463, -0.02188790524986504, -0.020976778068101658]"
chl608_Qx_dipole.dat,"[-0.0057049092952982435, -0.017054616862424328, -0.02248099911388582, -0.025466834477479713, -0.02713182242346306, -0.02799344893494441, -0.02833437780884599, -0.02832493980627303, -0.028074615080475478, -0.027657023888101793, -0.027123326947936625, -0.02650995668892449, -0.025843335582807648, -0.025142886684247294, -0.024423024977798274, -0.023694514291180722, -0.022965415163417695, -0.022241761035595532, -0.021528049357326405, -0.02082760380353037, -0.020142845002142463, -0.019475495222818023, -0.018826734687267397, -0.01819732197182485, -0.017587687446219132, -0.01699800625350512, -0.016428255622222818, -0.015878260079977877, -0.015347727255011519, -0.01483627630706023, -0.014343460551850462, -0.013868785487455102, -0.013411723162359486, -0.012971723621093372, -0.012548224007001759, -0.01214065578111815, -0.011748450422393855, -0.011371043901269716, -0.011007880160960255, -0.010658413795266426]"
cla610_dipole.dat,"[0.30069774863345167, 0.2544088675176233, 0.2159952154893545, 0.1832038687517199, 0.15498373357758194, 0.13062245390368177, 0.10956721942538293, 0.09136357248592056, 0.07562773890460014, 0.062031282749236645, 0.05029117345566946, 0.04016260325014818, 0.031433396659295405, 0.023919454463731907, 0.017460936945912067, 0.011919014676945654, 0.007173076991162485, 0.003118321443334727, -0.00033633340346411386, -0.0032700576647715215, -0.0057516801055538455, -0.007841050372580123, -0.009590220930183578, -0.011044472440856734, -0.012243203215526117, -0.0132207006817784, -0.014006810494449504, -0.014627516884473335, -0.015105446067553017, -0.015460302982021215, -0.015709250268621064, -0.015867237220891138, -0.015947285403063727, -0.01596073673472405, -0.01591746906165425, -0.015826083555731684, -0.015694067700465185, -0.01552793711118396, -0.015333358999821639, -0.015115259714657428]"
cla610_Qx_dipole.dat,"[-0.19698194561462717, -0.1734652212603874, -0.15155254847864696, -0.13163792742129332, -0.11373353409579036, -0.09774031901972895, -0.08351822382269165, -0.07091385367658258, -0.05977344244375223, -0.049949353949233166, -0.041303319425167295, -0.033707886955163205, -0.02704684783419787, -0.021215069309133437, -0.016117988122059265, -0.011670920770146042, -0.007798287757398112, -0.00443281275785815, -0.001514734421471429, 0.0010089465068399282, 0.003185171958377044, 0.005055476887227616, 0.006656583101028748, 0.00802093718881852, 0.009177194834154564, 0.010150654780146718, 0.010963646221787417, 0.011635873596519526, 0.012184722734705796, 0.01262553219258312, 0.012971833373177359, 0.013235562781012145, 0.013427249478291898, 0.013556180529540064, 0.013630546948727956, 0.013657572404082843, 0.013643626694616781, 0.013594325790693697, 0.013514620029110785, 0.013408871870843738]"
cla611_dipole.dat,"[-0.2586776258954444, -0.22653461588517532, -0.20178444500327672, -0.18137946699608537, -0.16405286673086955, -0.14908191113426375, -0.13599233822581044, -0.12444716567155568, -0.11419437566140812, -0.10503865579440726, -0.09682462296387753, -0.08942615606781555, -0.08273924989771048, -0.0766770280833665, -0.07116614651884062, -0.06614412876687836, -0.06155734713402535, -0.05735946368391781, -0.05351020674332771, -0.04997439717489315, -0.04672116392583172, -0.04372330526133912, -0.04095676368145631, -0.038400190638619255, -0.0360345829678515, -0.03384297714817134, -0.03181019061438315, -0.029922601655559763, -0.028167961190050935, -0.026535231049169567, -0.025014444440098604, -0.023596585069646608, -0.022273482049685482, -0.02103771821301594, -0.019882549875088595, -0.018801836404948653, -0.01778997823496521, -0.016841862156313423, -0.01595281292575842, -0.015118550356770215]"
cla611_Qx_dipole.dat,"[0.01761281633652215, 0.03673873094629703, 0.04563771702676261, 0.05028322540707853, 0.052628667677079306, 0.05358613328244023, 0.053656563236905895, 0.05314230036088185, 0.052237326908358375, 0.051071448963491015, 0.04973416278127546, 0.04828850722553265, 0.04677955771063056, 0.0452398643974234, 0.043693057159519794, 0.042156304320713135, 0.040642029701993994, 0.03915913568892675, 0.037713889117383013, 0.036310572096796945, 0.03495196594166903, 0.033639714712128344, 0.032374600690878864, 0.03115675465134771, 0.029985817318290392, 0.028861063949006636, 0.02778150081454179, 0.02674594011248812, 0.02575305821796759, 0.0248014409909342, 0.023889618979607438, 0.023016094704463936, 0.022179363713874314, 0.021377930728113302, 0.020610321902301082, 0.01987509401859088, 0.019170841247361486, 0.018496199984340052, 0.017849852166586928, 0.017230527388467642]"
cla612_dipole.dat,"[0.7723742639809948, 0.7223938194584482, 0.6587266089584475, 0.5952367271633155, 0.5356843578280611, 0.4812103708208048, 0.4319940595584819, 0.3878197334390937, 0.34831145861911234, 0.31304026400677715, 0.2815751544802652, 0.2535071862823766, 0.22845995981290917, 0.2060930946224591, 0.18610208212906498, 0.16821633197086064, 0.15219640119314365, 0.1378309469929178, 0.12493369425729253, 0.1133405681670261, 0.10290706201435569, 0.09350586507894809, 0.08502475030172221, 0.07736470819842883, 0.07043830705635643, 0.0641682570538706, 0.058486155800843403, 0.05333139388170278, 0.048650200673669826, 0.04439481264622837, 0.040522748313883576, 0.03699617589671159, 0.033781361482911, 0.03084818705947724, 0.02816972917609295, 0.025721890239455213, 0.02348307551252001, 0.021433909830105423, 0.019556988854264122, 0.017836660394687436]"
cla612_Qx_dipole.dat,"[-0.180087918086534, -0.09752399232097718, -0.04524361652741227, -0.009191807501701607, 0.016376515449300015, 0.03466942147000914, 0.047723192621325516, 0.05692115707556159, 0.06324251167987766, 0.06739946554576746, 0.06991999629439187, 0.07120099294562504, 0.0715439361956247, 0.07117965805713485, 0.07028596211721236, 0.06900041367469409, 0.06742977258380063, 0.06565704130340137, 0.0637467885882262, 0.061749207804270005, 0.059703235032161225, 0.057638961078181006, 0.05557950830344152, 0.05354249853234256, 0.05154120628887868, 0.049585468357927535, 0.047682403587661626, 0.045836984174525024, 0.04405249018261563, 0.0423308718871685, 0.04067303908700507, 0.039079092364228796, 0.037548508061829786, 0.036080286266899256, 0.034673069155384866, 0.033325235544353585, 0.03203497631236233, 0.0308003544142481, 0.02961935247751571, 0.028489910380727162]"
