#Frame                                               Vec_00002
       1  -1.5051   1.3090  -4.3750 112.0271  51.1911  71.0508
       2  -1.5151   0.8232  -4.5488 112.5609  50.9156  69.8508
       3  -1.8413   0.6381  -4.3920 112.9030  52.3988  70.0734
       4  -1.1275   0.2270  -4.7352 112.8900  53.1752  70.3415
       5  -2.2479  -0.1460  -4.2664 114.8826  53.8305  69.8420
       6  -2.2401   0.0348  -4.2812 114.3405  52.9584  70.0829
       7  -2.6120  -0.2333  -4.1969 115.6243  52.7162  69.9122
       8  -2.8817  -0.9118  -3.7845 115.6018  53.4798  68.6839
       9  -2.4821   0.0599  -4.2962 115.5274  51.8565  69.4837
      10  -1.2365   0.1606  -4.6387 113.4037  52.3796  70.2627
      11  -2.2736  -0.2693  -4.2574 115.2499  53.1779  69.7270
      12  -2.5346  -0.5205  -4.0941 114.5651  52.5705  69.1356
      13  -2.6454   0.5122  -4.0316 115.5353  51.2003  70.3451
      14  -2.7202   1.8545  -3.6487 115.1739  51.5148  70.0127
      15  -3.0228   1.9518  -3.1143 115.7175  51.3799  69.2827
      16  -2.9576   1.6131  -3.5408 116.5494  52.0111  69.5392
      17  -3.3636   1.2224  -3.2663 116.9735  53.1846  69.2427
      18  -2.0256   1.9698  -3.8383 116.1646  52.0001  69.3966
      19  -1.8511   2.7753  -3.4582 115.6383  51.4581  69.4943
      20  -1.0509   2.1001  -4.2216 115.6362  52.8581  69.1649
      21  -1.5639   2.5518  -3.6911 115.4343  51.7453  69.5482
      22  -2.0988   2.4340  -3.6607 115.6077  51.4792  69.4720
      23  -1.6724   2.2248  -4.0178 115.6137  51.9057  69.0999
      24  -1.0370   1.8326  -4.3576 115.6501  52.8024  69.7158
      25  -1.1790   1.3827  -4.4960 116.2688  52.5568  69.7616
      26  -0.9254   1.4234  -4.5523 117.1624  51.5151  69.2378
      27  -1.2043   1.2871  -4.4502 117.1055  52.3845  69.8338
      28  -1.5253   1.0848  -4.4576 116.5496  52.1173  70.1250
      29  -1.0349   1.2940  -4.5134 116.4274  52.3706  70.2172
      30  -1.3384   0.6588  -4.6081 117.4569  53.1818  68.8242
      31  -0.8288   0.9974  -4.6202 116.7719  52.5594  68.0990
      32  -1.7453   0.9948  -4.4198 117.8932  52.0246  68.2208
      33  -1.4721   0.7519  -4.6085 118.3487  51.6832  68.1202
      34  -1.6161   0.5816  -4.5425 117.6545  51.9230  68.3596
      35  -1.4560   0.9762  -4.5080 117.5885  51.3548  69.0029
      36  -1.3109   0.5671  -4.5324 117.3427  52.5110  68.7068
      37  -1.8978   0.8922  -4.3960 117.5523  51.7178  68.5554
      38  -0.9209   0.6192  -4.6393 117.4948  52.0013  68.8218
      39  -0.9903   1.1736  -4.5695 117.4148  50.5921  68.3114
      40  -1.2859   0.9953  -4.5170 117.0733  51.2081  68.1785
      41  -1.8753   0.7532  -4.4253 117.9499  50.7777  68.2891
      42  -0.9831   1.1367  -4.5379 117.4802  51.2981  68.2454
      43  -1.2995   1.0847  -4.4926 116.8847  50.6400  69.1272
      44  -1.8704   0.9712  -4.3667 117.6914  50.8594  68.6724
      45  -1.6359   1.1591  -4.4434 118.1120  50.8044  69.2765
      46  -0.6810   1.3644  -4.6444 117.4966  49.2845  68.5992
      47  -0.5525   1.2406  -4.6247 118.0384  48.9278  68.7081
      48  -1.5857   0.6377  -4.5635 118.6859  50.6936  67.9506
      49  -1.5358   0.4048  -4.6456 119.1461  49.7394  68.0141
      50  -1.4602   0.3549  -4.6214 118.7825  50.5096  67.5209
      51  -2.3838   0.7638  -4.1553 119.5419  50.3875  68.1807
      52  -1.7467   0.5791  -4.4984 119.9869  50.0121  68.3305
      53  -1.6715   0.0890  -4.5118 118.9149  50.2967  68.6601
      54  -0.2938   0.7323  -4.7743 115.6524  48.3965  68.4202
      55  -1.6959   0.6990  -4.4538 116.6632  48.9957  68.1238
      56  -0.8709   0.7259  -4.6589 116.1739  49.3127  68.0153
      57  -1.5627   1.0331  -4.4830 117.2738  48.1984  67.7507
      58  -1.4638   1.0041  -4.5418 116.9081  48.6443  68.0428
      59  -0.6492   0.8799  -4.7638 115.9590  49.4436  68.0171
      60  -0.5175   1.1513  -4.7147 115.8462  48.5895  68.4635
      61  -1.0992   1.2517  -4.5819 117.0387  48.9655  68.9238
      62  -1.9552   0.5296  -4.3962 118.5989  49.3817  69.4743
      63  -1.9550   1.1990  -4.2947 118.7337  49.2689  68.7677
      64  -1.9300   1.0285  -4.3237 118.9671  48.6295  68.5363
      65  -1.1082   0.7464  -4.7327 117.7990  49.9012  68.8991
      66  -0.9553   0.6008  -4.7633 117.9232  49.8633  68.4573
      67  -0.6750   0.7405  -4.7862 116.5054  50.0080  67.3834
      68   0.0708  -0.0452  -4.8663 115.2740  50.0388  68.1428
      69   0.7807   0.0045  -4.8190 114.5674  50.1565  67.4037
      70  -1.0452   0.1042  -4.7754 117.5983  50.4579  68.0562
      71  -1.1151   0.1007  -4.6397 117.7353  49.5646  67.4363
      72  -0.4705  -0.0608  -4.7267 116.8798  50.5704  66.7996
      73  -0.8435   0.5943  -4.7708 116.7455  49.9405  66.8885
      74  -0.9751   0.6988  -4.6890 117.0902  49.1180  66.8288
      75  -0.5861   0.6694  -4.7734 117.2904  50.4193  67.5368
      76  -1.1545   0.3135  -4.7332 117.7813  50.5148  67.0550
      77  -0.4187   0.5096  -4.8554 117.3073  50.0473  68.1354
      78  -0.4103  -0.0857  -4.7975 117.0697  51.1166  66.7129
      79   0.4273   0.5594  -4.7468 116.1604  50.7747  66.9752
      80  -0.5039   0.1011  -4.7726 116.5935  51.4254  67.5106
      81  -0.3356  -0.0451  -4.8676 117.0951  51.9530  67.6256
      82  -0.0940   0.0745  -4.8862 116.2995  51.3764  67.3143
      83   0.3045   0.8528  -4.7872 115.1858  50.5107  68.0075
      84   0.8291   1.2641  -4.5665 115.2610  50.0095  67.9380
      85   0.8870   0.9222  -4.6674 114.8215  50.7778  68.0149
      86   1.1321   0.6075  -4.6741 114.8368  50.4297  67.8349
      87  -0.2156   1.4155  -4.6758 115.3783  49.7823  69.1265
      88   1.6999   0.6658  -4.6039 114.4842  49.8283  68.2405
      89   0.2332   0.5242  -4.7784 115.6121  50.3604  68.1130
      90   0.9358   0.5758  -4.6652 114.4928  50.3065  68.0156
      91  -0.1695   0.1844  -4.9625 116.5430  50.8077  68.7187
      92   0.2268  -0.0250  -4.9022 116.1195  50.6389  67.8756
      93   0.6009   0.3718  -4.7502 115.2305  50.1873  68.6210
      94   0.3615   0.1916  -4.7962 116.5373  50.6583  68.0597
      95  -0.1712   0.0115  -4.8571 116.2230  51.1684  68.3861
      96   0.2006  -0.0427  -4.8664 116.4081  50.9564  68.5818
      97   0.2881  -0.2537  -4.8684 116.6176  51.8423  68.2520
      98   0.2508  -0.1815  -4.7976 115.6898  52.3565  67.8157
      99   0.8542  -0.7056  -4.7642 115.7052  51.5474  67.5193
     100   0.6979   0.3614  -4.7428 116.5691  51.4348  67.4199
     101   0.4484  -0.0046  -4.7949 115.7532  52.0116  67.6325
     102   0.9794   0.1381  -4.7130 116.7089  51.9279  68.0538
     103   0.9759  -0.5719  -4.7500 116.7339  51.6930  67.7954
     104   1.6027  -0.2050  -4.4880 115.7558  52.3488  67.7833
     105   0.5955  -0.2281  -4.7781 118.0979  51.6162  68.1096
     106   0.1895   0.1090  -4.9209 118.6006  51.3899  68.7269
     107   1.4867   0.4600  -4.7453 116.3483  51.3424  68.9865
     108   0.5061   0.3877  -4.8573 117.5172  51.2633  68.6464
     109   1.0498   0.4893  -4.7424 117.1012  50.7869  68.3281
     110   1.8049   0.3568  -4.4625 116.5123  51.0874  69.3379
     111   2.4619   1.0753  -3.9251 115.6445  50.2136  69.9632
     112   1.3784   0.5715  -4.6143 117.0149  50.4647  69.7258
     113   1.2089  -0.0313  -4.6548 117.0167  50.8940  68.8884
     114   0.8047  -0.5044  -4.7047 117.0673  51.7009  68.8517
     115   0.2614   0.4136  -4.8776 117.9371  50.7130  69.3787
     116   0.6870   0.0184  -4.8182 117.6648  52.5271  67.9771
     117   0.5707  -0.1796  -4.8294 116.5888  51.5718  67.8305
     118   0.6456   0.6916  -4.7335 116.5587  51.0361  68.2926
     119   0.7413   0.8765  -4.7101 115.9821  50.6154  67.7770
     120   1.1546   0.7347  -4.5989 115.9764  50.5682  67.4319
     121   0.5986   0.9166  -4.6459 116.3254  50.3827  67.7223
     122   0.5374   1.1979  -4.6665 116.7581  50.4982  67.8359
     123   0.8899   0.4090  -4.7346 116.4916  50.5998  67.8896
     124   1.5667   0.9435  -4.4709 115.6114  50.2162  68.4035
     125   1.5627   1.0730  -4.4156 114.6968  49.6779  69.0056
     126   2.6660   1.7698  -3.6579 114.1750  49.0153  68.0082
     127   1.8260   2.4019  -3.7924 114.3506  48.9441  68.0149
     128   1.9384   2.2761  -3.7682 114.1880  49.9002  67.3555
     129   2.2317   2.1209  -3.6608 114.1660  49.1350  67.9318
     130   1.9038   2.3370  -3.8217 113.9733  48.6630  68.0428
     131   1.2810   1.7741  -4.3969 114.6198  50.0291  68.2364
     132   2.1157   1.5873  -4.0809 113.5770  49.2449  66.6808
     133   1.3431   0.8032  -4.5775 115.0141  50.4948  66.5646
     134   2.2957   0.8757  -4.2886 113.4728  50.2440  66.5938
     135   1.7518   0.5650  -4.5400 113.3582  51.3111  66.5501
     136   2.8280   0.8016  -3.6544 112.8455  50.5616  65.1860
     137   1.1656  -0.1464  -4.7102 114.8884  51.4521  66.2013
     138   1.4468   0.9095  -4.5571 114.4962  50.1493  67.2507
     139   1.0244   0.3048  -4.7752 114.2853  51.4604  66.4559
