chl601_dipole.dat,"[-0.07245975874629133, -0.042508511075229356, -0.02116323981953884, -0.005255892039049466, 0.00679178090949165, 0.01594425941271594, 0.022858790375148742, 0.028013291089847604, 0.03176982590506241, 0.03441015613180639, 0.03615752850216272, 0.03719099193246069, 0.03765533133776943, 0.03766826094142069, 0.03732580972212965, 0.03670645912289248, 0.03587438631970276, 0.034882045785119296, 0.03377224849477418, 0.0325798516647629, 0.03133314141296099, 0.030054970042477255, 0.028763695163448916, 0.027473957447742642, 0.02619732612099486, 0.024942835495038788, 0.02371743138265556, 0.022526342749742703, 0.021373391197133274, 0.020261248650181158, 0.019191651843322936, 0.018165580727270113, 0.017183406729696944, 0.016245015814123867, 0.015349910465875366, 0.014497294056941626, 0.013686140478262809, 0.012915251458305441, 0.012183303594600344, 0.011488886796945643, 0.0108305355664319, 0.01020675430441941, 0.009616037652730863, 0.009056886704525214]"
chl601_Qx_dipole.dat,"[0.20749857806615604, 0.18804807417881406, 0.16964107249215485, 0.15251087838851066, 0.13671088851665616, 0.12222340641634026, 0.10899669702175696, 0.09696176600787917, 0.08604128472618833, 0.07615480715242488, 0.06722198063680115, 0.05916456206550927, 0.051907674139637434, 0.04538055682303578, 0.039516974544247616, 0.03425538575799956, 0.029538948387496846, 0.025315413188412704, 0.021536942476695745, 0.0181598813889591, 0.015144501428937541, 0.012454730606459687, 0.01005788042897435, 0.007924376981164584, 0.006027501062924334, 0.004343140661962359, 0.0028495577765805013, 0.0015271706736074676, 0.00035835198787675254, -0.0006727574167743068, -0.0015804192452608338, -0.0023774538776654137, -0.0030753825806804466, -0.003684556704979204, -0.004214274788382394, -0.004672888490673824, -0.005067898268554197, -0.005406039665839413, -0.005693361050141465, -0.005935293577061054, -0.006136714109435966, -0.006302001764659348, -0.006435088709103363, -0.0065395057663625]"
chl608_dipole.dat,"[-0.30566146267288374, -0.2670296118883821, -0.23718675330072142, -0.21283140521007582, -0.19235404938676431, -0.17480505229010015, -0.1595612132392916, -0.14618461306727873, -0.13435249682040215, -0.1238184814194256, -0.11438935197603765, -0.10591033375723506, -0.09825529644219444, -0.09131998780024694, -0.08501721168375954, -0.07927330037835706, -0.07402547567777115, -0.06921983654995861, -0.06480979883666237, -0.06075486767200758, -0.05701965917394303, -0.05357311185009031, -0.050387844431560004, -0.047439628158546666, -0.044706949547116334, -0.04217064542706414, -0.03981359624815706, -0.037620466767481, -0.03557748556649779, -0.03367225661817196, -0.031893597482759106, -0.030231399762395653, -0.028676508266213607, -0.02722061598509837, -0.025856172489397856, -0.02457630377431546, -0.023374741909197617, -0.022245763115729407, -0.021184133119349618, -0.02018505879813526, -0.019244145301834433, -0.018357357936785126, -0.01752098821496628, -0.016731623551199552]"
chl608_Qx_dipole.dat,"[-0.07718327121784933, -0.0801840449116776, -0.0796726527974148, -0.07767749653563119, -0.07498864872591296, -0.0719820196485451, -0.06885627724452081, -0.06572276152701086, -0.06264568301226792, -0.05966217745120902, -0.0567931298968068, -0.054049371034815004, -0.05143538846683702, -0.04895162931898719, -0.046595968736032375, -0.04436466653658789, -0.04225300039334746, -0.040255689517463784, -0.03836717988082996, -0.03658183637957638, -0.03489407159883927, -0.033298430922377, -0.031789647344667174, -0.03036267514966175, -0.02901270881863894, -0.02773519162877392, -0.02652581709681379, -0.025380525512364676, -0.024295497165248946, -0.02326714341698165, -0.022292096441210472, -0.02136719822365416, -0.020489489242312243, -0.019656197125191874, -0.018864725492636403, -0.018112643125423593, -0.01739767355160076, -0.01671768510983767, -0.01607068152148464, -0.015454792985031728, -0.014868267793434298, -0.014309464465448929, -0.013776844375701893, -0.013268964863941385]"
cla610_dipole.dat,"[0.6528137075156899, 0.575719648330455, 0.5067225205609247, 0.44533478401091886, 0.39091092985539366, 0.3427773786748057, 0.3002805238878909, 0.2628074303252741, 0.22979451134220327, 0.20073012691861947, 0.17515390245031656, 0.1526542603186943, 0.13286502203863543, 0.11546159528675166, 0.10015705918753619, 0.08669833750898284, 0.07486257078666338, 0.06445374761036783, 0.05529962240248486, 0.047248925888936165, 0.040168861207986524, 0.033942870643158866, 0.02846865356629324, 0.02365641414783931, 0.019427316916033013, 0.015712128760549084, 0.012450027091434319, 0.009587555315587422, 0.007077708402046751, 0.00487913295575333, 0.002955427831473251, 0.001274532848825257, -0.00019180541026933378, -0.0014685004413314147, -0.002577533839415842, -0.0035383119962792767, -0.004367978028794396, -0.005081684665874054, -0.005692833090719291, -0.00621328209374414, -0.006653531329772809, -0.00702288198222718, -0.007329577708829226, -0.007580928370334695]"
cla610_Qx_dipole.dat,"[-0.234198357310482, -0.194165773732283, -0.16010632162752816, -0.13096178235724332, -0.10599766959910731, -0.0846269061533128, -0.06635605490208685, -0.050762127920463126, -0.03747965415256585, -0.026191941465560486, -0.01662437871353082, -0.0085389165230097, -0.0017293469959705882, 0.0039828038706305685, 0.008751875333743536, 0.012711230855911694, 0.015976028451704868, 0.018645645636171777, 0.020805797244566448, 0.022530380830170973, 0.023883081300936446, 0.02491876360299542, 0.02568467950748467, 0.02622151190530164, 0.026564277489837036, 0.026743106339992672, 0.026783914726904192, 0.02670898546986499, 0.026537468363094868, 0.026285811581234643, 0.02596813353876689, 0.02559654341473619, 0.02518141744516566, 0.0247316371167432, 0.024254794552040385, 0.023757369644680105, 0.023244882869314133, 0.022722027143915524, 0.022192781649775284, 0.021660510107904023, 0.02112804566056927, 0.020597764205770596, 0.020071647773845767, 0.019551339313245406]"
cla611_dipole.dat,"[-0.4069850161019183, -0.33425765491096826, -0.2819595027971748, -0.24165456934096705, -0.20940084578533788, -0.1829570422808725, -0.1609014600741034, -0.14226656829324252, -0.12636079135637496, -0.11267158197469689, -0.10080837563085943, -0.0904669445465728, -0.0814060504487385, -0.07343156151074719, -0.0663853045890918, -0.06013703405261678, -0.05457851640363701, -0.04961908979372152, -0.045182275438584316, -0.04120315434121619, -0.03762631064111938, -0.034404201030437835, -0.03149584898883781, -0.028865789720600298, -0.02648321074654636, -0.02432124672769923, -0.022356396977591387, -0.020568041382585594, -0.018938035854453313, -0.017450372507791214, -0.016090892849284454, -0.014847044642246189, -0.013707674951189724, -0.012662853309718173, -0.011703720087503503, -0.01082235603005215, -0.010011669661654595, -0.009265299817525698, -0.008577531036133254, -0.007943219920395766, -0.007357730884771352, -0.006816879958207921, -0.0063168855213715305, -0.0058543250290839025]"
cla611_Qx_dipole.dat,"[0.14338799892922935, 0.14874089517864938, 0.14720206665001262, 0.14277839986543442, 0.13704660528635354, 0.13075769176922603, 0.12430578554480887, 0.11790828951764534, 0.11168718526699739, 0.10570985816936793, 0.10001121381301625, 0.09460635062249176, 0.08949813553141836, 0.08468188094024702, 0.08014830282985624, 0.07588542468330825, 0.07187981688420314, 0.06811740779735251, 0.0645840137982138, 0.061265682281550285, 0.05814890891496863, 0.05522076974434508, 0.052468995455499816, 0.04988200637159794, 0.04744892095066926, 0.04515954661727121, 0.04300435907336745, 0.04097447437457689, 0.039061616761452235, 0.03725808432461876, 0.03555671393903301, 0.03395084644598938, 0.03243429273669495, 0.031001301160037856, 0.029646526512853235, 0.02836500075466063, 0.02715210550709754, 0.02600354634148962, 0.0249153288192651, 0.023883736224234803, 0.022905308909476254, 0.021976825172038077, 0.02109528356397152, 0.020257886546887666]"
cla612_dipole.dat,"[1.3276453934685186, 1.1649740226423866, 1.011241082904261, 0.874607579717474, 0.7558221205164891, 0.6535132280999757, 0.5657361697198823, 0.49051347291796543, 0.42602834580965415, 0.37068320237794744, 0.323103465968539, 0.28211987258807986, 0.24674370252920885, 0.21614124856245934, 0.1896101531692096, 0.1665585483054386, 0.1464871514511931, 0.1289741309496112, 0.11366242438443472, 0.10024916509219631, 0.08847688891506615, 0.07812622868231418, 0.06900984430741632, 0.06096737554424715, 0.05386123970981585, 0.04757312721152042, 0.0420010735444176, 0.03705700796431921, 0.03266469684820135, 0.02875801439113731, 0.02527948528321206, 0.02217905382115432, 0.01941304192993418, 0.01694326512705367, 0.014736280827336351, 0.012762747780363435, 0.010996879037039402, 0.009415973802923595, 0.008000015973069688, 0.006731329152735392, 0.005594279628728099, 0.004575020130828311, 0.0036612683632044557, 0.00284211523388327]"
cla612_Qx_dipole.dat,"[-0.32635389144671684, -0.16665273154914656, -0.0627510922809337, 0.007020520222120871, 0.054246589459403735, 0.08601528029530875, 0.10696029772844322, 0.12023059268354283, 0.12802099817280851, 0.13188863497293424, 0.1329524950726232, 0.13202437226489536, 0.12969726397771955, 0.1264063884586811, 0.12247204183629903, 0.11813013037475667, 0.11355418034945419, 0.10887136302598811, 0.10417426154917254, 0.09952957429065189, 0.09498459262973064, 0.09057204814972683, 0.08631375619272516, 0.08222336501373229, 0.0783084363978963, 0.07457202394687247, 0.07101387216907915, 0.06763132815844712, 0.06442003465847554, 0.061374456338361576, 0.058488278502694994, 0.05575470803972937, 0.05316669934199587, 0.05071712259725039, 0.04839888780357962, 0.04620503478470006, 0.04412879713032007, 0.04216364618414345, 0.04030331981618761, 0.03854183964733968, 0.03687351956778153, 0.03529296775064181, 0.033795083865119285, 0.03237505280672032]"
