#Frame                                               Vec_00002
      79  -4.3220  -1.9387  -1.1661 119.0645  53.6960  70.7851
      80  -4.7387  -1.2582  -0.3607 119.4862  52.0665  69.3578
      81  -4.4963  -1.7747   0.0520 118.6224  52.8752  70.1937
      82  -4.2083  -2.3309   0.3397 119.0409  52.1606  69.4287
      83  -4.7881  -0.6720  -0.4821 121.0873  51.0900  70.1697
      84  -4.7161  -1.1490  -0.3972 120.1694  51.8363  70.3104
      85  -4.7013  -0.8392  -0.6203 121.1173  51.3634  69.6727
      86  -4.7315  -0.5334  -0.4028 121.2352  51.9186  69.9557
      87  -4.7867  -0.9356  -0.1086 120.4511  51.5371  70.0050
      88  -4.6636   0.2479  -1.1492 121.1080  51.4041  70.8794
      89  -4.5209   0.9086  -1.4900 121.1314  52.5011  70.9568
      90  -4.7150   0.2206  -1.0194 120.3017  52.5183  69.8779
      91  -4.5877  -1.0739  -0.9824 121.5072  54.4693  70.1749
      92  -4.8101  -0.6352  -0.0344 121.3553  53.7634  70.2422
      93  -4.7517  -0.1239  -1.4130 120.0989  53.4813  70.7242
      94  -4.6027  -0.0494  -1.3942 119.7292  53.4948  69.9733
      95  -4.7259  -0.1063  -1.1233 120.4144  53.2315  70.3212
      96  -4.7419  -0.8571  -0.4675 119.9204  54.2223  70.8765
      97  -4.6145  -1.1076  -0.2583 119.3949  53.6569  70.2883
      98  -4.4383  -1.5516  -0.9549 119.4550  54.6242  70.9816
      99  -3.9761  -1.2328  -2.4569 117.0336  53.6187  70.6086
     100  -3.4141  -1.8401  -2.7581 116.4597  52.3174  70.9295
     101  -3.9192  -1.3005  -2.4990 117.2025  52.4140  70.3467
     102  -3.5743  -0.8596  -3.2109 116.5727  52.4730  70.5322
     103  -4.0734  -0.9858  -2.4812 117.4732  52.8177  70.9528
     104  -3.4663  -1.4583  -3.0275 116.2125  52.9738  70.9606
     105  -3.4869  -1.6232  -2.8737 116.3478  52.8145  69.5902
     106  -3.2642  -1.6801  -3.1315 114.7723  52.7079  70.9153
     107  -3.9849  -1.7549  -2.3831 116.1511  52.1577  70.4526
     108  -3.9727  -1.2457  -2.5146 116.7282  51.8237  71.5474
     109  -3.6836  -0.3727  -3.1582 115.9468  50.6254  73.1454
     110  -3.8265  -1.7909  -2.4874 115.3194  51.5176  72.1945
     111  -4.4986  -1.5382  -1.0767 117.9292  52.1675  71.7422
     112  -4.1463  -1.3229  -2.1189 117.2866  51.2005  71.3507
     113  -3.8229  -0.4349  -2.8117 116.9334  50.5362  72.0567
     114  -3.7102  -2.2339  -2.1605 116.5346  52.5671  70.4909
